token,count,suggested_usage,source_keywords,sample_titles
3color,12,검토 필요,"아이폰 16, 다이슨","[배터리100%]아이폰6 16,32,128GB (3color) | [한정특가/배터리100%] 아이폰6 16GB~128GB (3color) | [배터리100%]아이폰5s 16GB 32GB 64GB (3color)"
lgu,12,검토 필요,"갤럭시 s25, 갤럭시 s25 플러스, 갤럭시 s26, 아이폰 15, 아이폰 16, 갤럭시 s25 울트라",[Lgu+]아이폰16프로맥스256기가[새상품/미개봉/정품/애케플] | 212224 갤럭시 S24울트라 바이올렛 512G LGU+ 무잔상 AA급 | 갤럭시s22플러스  화이트  256G  lgu b급
91,12,product_token_dictionary model 후보,"갤럭시 s25, 아이폰 16, 갤럭시 s26, 아이폰 15, 맥북",S급 아이폰 16프로 128GB 91% | 아이폰5 16기가 스페이스그레이 91% 판매 | 아이폰 16 프로맥스 256GB 블랙티타늄 / 배터리 91% / 외관 깔끔
하트,12,검토 필요,"아이폰 16, 아이폰 17 프로, 아이폰 17, 에어팟 프로, 아이패드",아미 블랙 하트 퀼팅 아이폰16 케이스 | 케이스티파이 하트 아이폰 16프로케이스 | Kashiko 카시코 엔젤 하트 블랙 케이스 아이폰 16 프로
94,12,product_token_dictionary model 후보,"아이폰 16, 갤럭시 s25, 갤럭시 s26, 아이패드, 맥북, 애플워치",아이폰16 프로맥스 256G 94% | 아이폰 16E 128G 화이트 배터리 94% 판매합니다[60만] | 아이폰16프로 맥스 256 94%팝니다
ios,12,검토 필요,"아이폰 16, 아이폰 15, 아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스",아이폰 12미니 128G ios 16.2 | 아이폰 SE2 128G 83% ios 16.0.2 | 아이폰5 스그 16GB iOS 8/6 듀얼부팅가능
매트,12,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 아이패드, 애플워치, 다이슨",케이스티파이 무라카미 매트 블랙 아이폰16프로 케이스 | 파워서포트 에어자켓 아이폰 16 클리어 매트 케이스 | (새상품) 아이폰 16프로 매트 슬림핏 케이스 + 맥세이프 링 스티커
버전,12,검토 필요,"닌텐도 스위치, 맥북, 애플워치, 플스5, 아이폰 16, 아이패드","아이폰16 블랙 128GB,   ios18 버전 | 아이패드 에어3 64기가 와이파이 버전 부품용 판매합니다. | 맥북 인텔코어 5 업그레이드 버전 급처"
아이폰xs,12,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 17, 아이폰 16","211664 아이폰XS 64GB 블랙 ios버전 (16.3.1) | 아이폰 17(카메라무음), 아이폰xs | 아이폰XS 256G 실버 배터리성능100%"
컴팩트,12,검토 필요,"아이폰 16, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17, 아이폰 15, 다이슨",케이스티파이 아이폰 16 컴팩트 맥세이프 케이스 | 케이스티파이 리본 컴팩트 케이스 아이폰 16프로 | 아이폰 17 프로 맥스 케이스티파이 임팩트 & 컴팩트 케이스 판매합니다
카카오프렌즈,12,검토 필요,"애플워치, 아이폰 15, 에어팟 프로, 갤럭시워치, 아이폰 16, 아이패드, 갤럭시 s25",케이스티파이 카카오프렌즈 아이폰16 프로 케이스 새제품 | 아이폰 15프로 춘식이 카카오프렌즈 하드 범퍼 카드케이스 새거 | 카카오프렌즈 춘식이 맥세이프 아이폰15PRO 케이스
아이폰xr,12,검토 필요,"아이폰 16, 아이폰 17",아이폰XR 공기계 판매 합니다. [16만]
최고가,12,검토 필요,"아이패드, 에어팟 프로, 애플워치, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17","아이폰17 시리즈(17프로 17프로맥스 등) 최고가 매입 | 매입) 아이패드 미니, 에어, 프로 최고가 매입합니다 | 구입)액정파손 아이패드 프로 11인치 최고가 삽니다"
발송,12,검토 필요,"아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스, 아이폰 15, 아이패드, 맥북",5월15일 발송 아이폰 17 프로맥스 256 자급제 | 5월10일 발송 아이폰17 프로 256 자급제 미개봉 | 5월2일 발송 아이폰17 프로 256 자급제 미개봉
키트,12,검토 필요,"다이슨, 아이폰 17 프로, 아이폰 17, 닌텐도 스위치, 로보락, 아이패드, 아이폰 17 프로 맥스",PGYTECH ProShot 폰 비디오 케이지 키트- 아이폰 17 프로 킷- 필터 어댑터링- SSD 모듈 ( USB | Osmo 코딩 스타터 키트 (iPad용) | 1회사용)닌텐도 스위치2 스포츠+18in1 올인원 키트
01764,12,검토 필요,"갤럭시 s25, 갤럭시 s26",(25년개통) 특S급 갤럭시S24FE 256기가 그레이 01764 김해
9형,12,검토 필요,아이패드,아이패드 프로 12.9형 6세대 256G 셀룰러 애플펜슬 풀구성 상태좋음 | 아이패드 프로 12.9형 (4세대) 256GB Wi-Fi 스페이스 그레이 | 아이패드 프로 3세대 스페이스 그레이 12.9형 256GB WiFi
세대,12,검토 필요,"에어팟 프로, 아이패드, 애플워치",매입 아이패드 미니 에어 프로 M1 M2 M3 M4 11 13 인치 세대 | 아이패드 에어 5세대 스그 (미국판) 64기가 펜슬 2 세대 포함 | 아이패드 10 세대 케이스 분리형 덮개 투명 케이스 + 커버  10.9
다수,12,검토 필요,"닌텐도 스위치, 애플워치, 플스5, 아이패드, 갤럭시워치",아이패드 태블릿 다수 | 애플워치 SE 40mm / 스트랩 다수 포함 / 상태 양호 | 애플워치7 스테인리스 그래파이트 45mm 풀구성 스트랩 다수
베이지,12,검토 필요,"애플워치, 아이패드, 맥북, 에어팟 프로, 갤럭시워치, 닌텐도 스위치, 갤럭시 s25",디올 오블리크 A4 아이패드 클러치 베이지 블랙 | 맥북 13인치 파우치 베이지 | 배송비포함) 에어팟 프로 베이지 케이스 팝니다
ram,12,검토 필요,맥북,"맥북에어 M1 16GB RAM, 512gb ssd, 실버 판매합니다 | Apple 맥북프로 M3 Max 14코어 RAM 36G | 맥북 2019년도 16인치 cpu i9 , ram 16g , ssd1tb"
신형,12,검토 필요,"갤럭시워치, 닌텐도 스위치, 다이슨, 맥북, 애플워치",뉴 맥북 초슬림형 12인치 맥북 - 신형 | 애플워치 링크브레이슬릿 42mm 신형 신품급 | 갤럭시워치울트라 2025 신형 미개봉 새제품 판매합니다
한쪽,12,검토 필요,에어팟 프로,새상품) 에어팟프로 1세대 왼쪽 오른쪽 양쪽 유닛 한쪽 낱개 | [번장인증] 에어팟 낱개 1 2 3 4 프로 한쪽 낱개 왼쪽 오른쪽 본체
에어팟프로2세대,12,검토 필요,에어팟 프로,"에어팟프로2세대 C타입 오른쪽 유닛 | 에어팟프로2세대 오른쪽 준A-급 라이트닝 7B21(GTDJ~) A2698 | 에어팟프로2세대 본체, 적은사용, 라이트닝, NC7~"
총알배송,12,검토 필요,에어팟 프로,에어팟프로2 c타입 풀박스 정품 작동잘됨  총알배송 | 에어팟프로3 오른쪽유닛 정품 작동잘됨  총알배송 | 에어팟프로3 왼쪽유닛 정품 작동잘됨  총알배송
디버클,12,검토 필요,애플워치,애플워치 에르메스 누아 디버클 45mm SS급 | 애플워치 에르메스 포브바레니아 디버클 45mm SS급 | 애플워치 에르메스 에벤 디버클 45mm SSS급
갤럭시워치6,12,검토 필요,갤럭시워치,갤럭시워치6 40mm 블투용 팝니다 | 갤럭시워치6 클래식 47mm 실버 판매합니다 | 갤럭시워치6 클래식 47mm 실버. LTE (미개봉)
갤럭시워치울트라,12,검토 필요,갤럭시워치,갤럭시워치울트라 2025 신형 미개봉 새제품 판매합니다 | 삼성 갤럭시워치울트라 풀박스 | 갤럭시워치울트라 2025제품 64GB 미개봉판매합니다!!
스틸북,12,검토 필요,"닌텐도 스위치, 플스5",닌텐도 스위치 몬스터헌터 라이즈 썬브레이크 선브레이크 스틸북 스틸케이스 | 닌텐도 스위치 슈퍼마리오 3d월드 + 퓨리월드 스틸북 스틸케이스 | 닌텐도 스위치 메트로이드 드레드 스틸북
플스,12,검토 필요,플스5,QWER 플스 포토카드 (5장 일괄) | 귀멸의칼날 히노카미 혈풍담 풀세트 닌텐도/PS5 플스 피규어 모두 포함! | 타카라토미 플스 플레이스테이션 히스토리 컬렉션 5종 풀세트 미니어처 가챠
플스2,12,검토 필요,플스5,PS2  플스2 슬림 79005번  2인셋 | 플스2 ps2 9만번 90005 실버 정발판 박스셋 | PS2 프론트미션5 일판 팝니다 플스2
붉은사막,12,검토 필요,플스5,PS5 붉은사막 데이원에디션 | PS5 붉은사막 스틸북 판매 | [PS5] 붉은사막 미개봉 새제품
세라믹핑크,12,검토 필요,다이슨,다이슨 에어랩 세라믹핑크 | [공홈정품]다이슨 에어랩 컴플리트 롱 +패스트드라이어 (세라믹핑크/로즈골 | 다이슨 에어랩 id 세라믹핑크 미개봉 새상품
직배수,12,검토 필요,로보락,로보락 S9 MaxV Ultra 로봇청소기 직배수 | 로보락 S10 MaxV Ultra 직배수 블랙 미개봉 | 7)로보락 로봇청소기 Qrevo EdgeC 직배수(미사용)
렌탈,11,token_exclude_list 후보,"아이폰 17, 아이폰 16, 아이폰 17 프로, 갤럭시 s25 울트라, 갤럭시 s25, 맥북, 닌텐도 스위치","[대여]갤럭시S25 울트라 1일 단기 렌탈 임대 콘서트폰 빌리팩토리 | [폰고|월56,500원] 아이폰16프로 렌탈/할부 서비스!! | [대여]아이폰16프로 1일 단기 렌탈 임대 하객 스냅샷 결혼식 촬영"
60960,11,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 갤럭시 s26",S급) 갤럭시S25울트라 512G 블루  60960 | S급) 갤럭시S25울트라 512G 블루 60960
사피아노,11,검토 필요,"갤럭시 s26, 갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 에어팟 프로",갤럭시 s25울트라 사피아노 소가죽 다이어리 케이스입니다. | 갤럭시 s24 s25 사피아노 소가죽 다이어리케이스 | 갤럭시 s25풀러스 s24풀러스 사피아노 소가죽 다이어리 케이스입니다
시나모롤,11,검토 필요,"아이폰 15, 갤럭시 s25, 아이폰 16, 아이폰 17, 갤럭시 s25 울트라, 에어팟 프로, 닌텐도 스위치, 아이폰 17 프로",갤럭시s25 울트라 전용 케이스티파이 시나모롤 러블리 카페 스티커 케이스 s급 | 갤럭시s25 폰케이스 산리오 시나모롤 | 시나모롤 카메라랜즈필름 아이폰17 아이폰15pro 16 아이폰13mini
256기기,11,검토 필요,"갤럭시 s25 울트라, 갤럭시 s25",갤럭시 S25 울트라 (S938) 256기기 S급
또는,11,검토 필요,"에어팟 프로, 닌텐도 스위치, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 갤럭시 s25, 아이폰 16, 맥북, 플스5",갤럭시 S25플러스 512GB로 S25 울트라 또는 폴드6 교환 | 아이폰16프로 블랙 256 판매 또는 s26플러스 s25울트라 교환 | 씨게이트 썬더볼트2어댑터+ 애플(맥용) 또는 스타테크 썬더볼트3변환어댑터
상태최상급,11,검토 필요,"갤럭시 s25 플러스, 갤럭시 s25, 갤럭시 s26",>한정판매< 갤럭시 S25플러스 256 상태최상급 (직거래 할인)
s936,11,검토 필요,"갤럭시 s25 플러스, 갤럭시 s25, 갤럭시 s26",갤럭시S25플러스 슈퍼 투명 범퍼케이스 S936 | 갤럭시S25플러스 그라데이션 카드범퍼 케이스 S936
중고폰업무폰저가폰세컨폰공기계게임폰효도폰게임폰알뜰폰,11,검토 필요,"갤럭시워치, 갤럭시 s25, 갤럭시 s25 플러스",삼성 갤럭시 S25 플러스 256gb 블루 ／ 중고폰업무폰저가폰세컨폰공기계게임폰효도폰게임폰알뜰폰 | SS급)삼성 갤럭시 S25 256gb 민트 ／ 중고폰업무폰저가폰세컨폰공기계게임폰효도폰게임폰알뜰폰 | 삼성 갤럭시 S25 256gb 실버 ／ 중고폰업무폰저가폰세컨폰공기계게임폰효도폰게임폰알뜰폰
패턴,11,검토 필요,"갤럭시 s25, 아이폰 17, 아이폰 16, 아이폰 17 프로 맥스, 아이폰 17 프로",(새상품) 갤럭시S25 투명 패턴 케이스 | (새상품) 갤럭시S25 패턴 호피 리본큐빅 투명케이스 | (새상품) 갤럭시S25 패턴 호피 리본큐빅 투명 케이스
70874김해,11,검토 필요,"갤럭시 s25, 갤럭시 s26",[25년 개통] A급. 갤럭시S25 256기가 부산중고폰 70874김해
01865김해,11,검토 필요,"갤럭시 s25, 갤럭시 s26",A급. 갤럭시S25 256기가 부산중고폰 01865김해 울산 서울
22,11,product_token_dictionary model 후보,"갤럭시 s25, 갤럭시 s26, 갤럭시 s26 울트라, 아이폰 16, 맥북, 갤럭시워치, 플스5",갤럭시 S25 24 23 22 21 20 후면 카드 포켓 다이어리 케이스 | 갤럭시 S25 24 23 22 21 20 10 다이어리 케이스 컬러 그린 | 새상품 갤럭시S26울트라 전색상보유 한정판매 핫딜 #22#23#24#25
세컨폰,11,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 15",[68만]SS급 갤럭시S25_256  전색상  효도폰 세컨폰 업무 | [70만]S급 갤럭시S25네이비512기가 선물폰 세컨폰 | [37만]갤럭시S23_256GB 선물폰 학생폰 세컨폰 업무폰
무찍힘,11,검토 필요,"갤럭시 s25, 아이폰 15, 아이폰 16",[80만]갤럭시S25엣지 512기가 무찍힘 무기스 S급 기기입니다 | (신폰급) 갤럭시 S25 512G 민트 25년 2월개통 액정무기스 무찍힘 정상해지폰 70만팝니다@ | 아이폰16프로 256G 밧데리91프로 무찍힘 상태최상 ^^
버즈,11,검토 필요,"에어팟 프로, 갤럭시 s26 울트라, 갤럭시 s26, 아이패드, 애플워치, 갤럭시워치","치사 갤럭시 S26 Ultra 케이스 마그넷 월렛 버즈 파우치 | 명조 치사 갤럭시 S26울트라 버즈 케이스, 4키 키링 | 아이패드매입.갤럭시탭매입.애플워치.에어팟프로.애플펜슬.버즈.갤탭.갤럭시"
가개통,11,검토 필요,"아이폰 17, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 17 프로, 갤럭시 s25, 갤럭시워치",[가개통]갤럭시S26 울트라/S948/512/스카이블루/85325 | [가개통] 갤럭시 S26 울트라 / 512GB / 스카이블루 | [가개통] 아이폰17 프로 / 1TB / 실버 / 배터리성능 100%
실사용한달안된,11,검토 필요,"갤럭시 s26 울트라, 갤럭시 s26",단순개봉 실사용한달안된 갤럭시S26울트라 512G 화이트색상 판매해요
제로,11,검토 필요,"닌텐도 스위치, 플스5, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 16, 아이폰 17 프로, 아이폰 17",모란카노 갤럭시s26 울트라 임팩트 제로 시그니처 맥세이프 케이스 | 젠레스 존 제로 아이폰16 프로 악세사리 에디션 미개봉 팝니다 | 젠레스 존 제로 AOD 스페셜 에디션 아이폰 17 프로
디자인스킨,11,검토 필요,"아이폰 17, 아이폰 16, 아이폰 15, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 17 프로, 애플워치, 갤럭시 s25 플러스","(미사용) 디자인스킨 맥세이프 풀커버 케이스 갤럭시S26울트라 블랙 | 아이폰 16프로맥스 디자인스킨 디즈니 마리 퍼플 체크 휴대폰 케이스 | 디자인스킨 폰케이스, 아이폰16프로"
서비스,11,검토 필요,"아이폰 16, 갤럭시 s26, 갤럭시 s26 울트라, 아이폰 17, 아이패드, 닌텐도 스위치, 플스5",갤럭시 GALAXY S26 울트라 ULTRA 512G 블랙 자급제 미개봉 새 것 팝니다.(케이스 서비스) | 미개봉급 자급제)갤럭시s26 512기가(화이트/5월4일 단순개통/강화액정 필름등 수만원 서비스) | 1개 서비스)아이폰16프로맥스 포차코/소울굿즈 케이스티파이 판매해요.
저렴히,11,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 16",갤럭시 S26 화이트 512 AA급 제품 저렴히 판매합니다. | 아이폰16 틸 256G 저렴히 판매합니다 | LG 갤럭시 S24 그레이 256G A급 저렴히 판매합니다
홍콩판,11,검토 필요,"아이폰 16, 아이폰 15, 아이폰 17",아이폰 16 플러스 블랙 512gb 홍콩판 듀얼심 | 아이폰16프로맥스 512기가 내추럴티타늄 홍콩판 팝니다 | 아이폰16프로 1TB 홍콩판 카메라 무음
가죽케이스,11,검토 필요,"아이폰 17 프로, 아이폰 17, 아이폰 15, 아이폰 16, 애플워치, 에어팟 프로",케이스티파이 아이폰 16pro 가죽케이스 | 미사용 신품 하이퀄리티 애플 아이폰17프로 맥세이프 가죽케이스 블랙 | 아이폰 17프로 더 소프트 아이보리 가죽케이스
0428,11,검토 필요,"아이폰 16, 갤럭시 s25, 갤럭시 s25 울트라",아이폰16프로 256기가 블랙(배터리92) / 0428 | 아이폰16프로 256기가 내추럴 (S급) / 0428 | 아이폰16프로 256 블랙 A급 / 0428
리뷰,11,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 갤럭시 s25",아이폰16재고 떨이 5/5  특가 페이백 20 리뷰&공지 필독 | 아이폰16 PRO MAX 리뷰&공지 필독 5/5 한정 42만원 | 공지&리뷰 필독 아이폰16pro 재고소진시 종료 정책 4/2 한정
공지,11,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 갤럭시 s25",아이폰16재고 떨이 5/5  특가 페이백 20 리뷰&공지 필독 | 아이폰16 PRO MAX 리뷰&공지 필독 5/5 한정 42만원 | 공지&리뷰 필독 아이폰16pro 재고소진시 종료 정책 4/2 한정
5개,11,검토 필요,"아이폰 16, 닌텐도 스위치, 아이폰 15, 플스5, 에어팟 프로",미개봉) 아이폰16플러스 블랙 256GB + 맥세이프 정품케이스 5개 | 아이폰16플러스 케이스 5개 | 아이폰16프로 투명케이스 새상품 5개
오터박스,11,검토 필요,"아이폰 16, 아이폰 15",오터박스 루멘 아이폰16프로맥스 맥세이프 케이스 | 아이폰16 프로맥스 /오터박스 케이스+필름미개봉 일괄 | 아이폰16 프로맥스 /오터박스 필름+글라스
결제창,11,검토 필요,"아이폰 16, 에어팟 프로",[색상선택가능] 아이폰 5S A급/16GB 결제창 | [색상선택가능] 아이폰 5S S급/16GB 결제창 | [색상선택가능] 아이폰 5S B급/16GB 결제창
멀버리,11,검토 필요,"아이폰 16, 아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스",케이스티파이st 리플케이스 멀버리 아이폰16 | 아이폰 16프로맥스 케이스티파이 리플케이스 멀버리 | 아이폰 17 프로맥스 케이스티파이 리플 케이스 멀버리
나루토,11,검토 필요,"아이폰 16, 닌텐도 스위치, 아이폰 15, 아이패드, 에어팟 프로, 플스5",나루토 우하님 폰케이스 양도 판매 아이폰 15pro 16pro | 빵이님 나루토 비공굿 카카시 아이폰16 케이스 | 나루토 아카츠키 폰케이스 아이폰16
3d,11,검토 필요,"닌텐도 스위치, 플스5, 아이폰 16, 아이폰 17",아이폰14 아이폰15 아이폰16 아이폰17 케이스 3D 입체 하드 | (미개봉)닌텐도 스위치 마리오 3d 컬렉션 미개봉 팝니다 | 닌텐도 스위치 슈퍼 마리오 3D 월드 한글판
알로이,11,검토 필요,"아이폰 17 프로, 아이폰 17, 아이폰 17 프로 맥스",아이폰17프로 맥스 케이스티파이 알로이 리플 케이스 판매합니다! | <새제품> 케이스티파이 x GD 아이폰 17 프로맥스 알로이 리플 케이스 | 케이스티파이 x 지드래곤 아이폰 17 Pro 알로이 리플 케이스 실버 그
가격,11,검토 필요,"아이패드, 닌텐도 스위치, 아이폰 16, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17, 아이폰 15, 맥북","아이폰 17 프로맥스256g 전화가 불가능하며, 가격 네고는 받지 않습니 | 가격 고정) 케이스티파이 메종키츠네케이스 아이폰15프로 맥스 | [수수료 포함 가격]애플 아이패드 프로 12.9 + 정품 악세사리"
커스텀,11,검토 필요,"아이폰 17, 갤럭시워치, 아이폰 17 프로, 아이폰 15, 애플워치, 닌텐도 스위치, 플스5",아이폰11 초희기 새상품급 SS급(17프로 커스텀) 급처합니다 | XTREM 익스트림 전자잉크 아이폰 17 맥세이프 나만의 커스텀 케이스 | 투샌디 TOSANDY 단추 커스텀 케이스 아이폰15프로 미사용 새제품
s22울트라,11,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 갤럭시 s26",삼성 갤럭시 S22울트라 블랙색상 512기가 | 갤럭시 s22울트라 512gb | 삼성갤럭시 S22울트라 512g 자급제 미사용품
깨끗함,11,검토 필요,"갤럭시 s25, 갤럭시 s26, 애플워치, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 맥북",갤럭시S21 256기가 정상해지 퍼플 깨끗함(잔상없이 깔끔함^^!) | 갤럭시S21울트라 256G 블랙(내용필독 G998) 깨끗함 판매합니다 | 갤럭시S21 5G 256G 핑크(내용필독 G991)깨끗함 판매합니다
01859,11,검토 필요,"갤럭시 s25, 갤럭시 s26",A급. 갤럭시S24 256기가 블랙 부산중고폰 01859 김해 울산 진주
밧데리효율,11,검토 필요,아이폰 16,A급외관) 아이폰6 실버 16기가 ( 밧데리효율 100%) | A급 아이폰5 16기가 실버 (밧데리효율 93%) | 아이폰6플러스 16기가 실버 (밧데리효율 88%)
맥미니,11,검토 필요,"맥북, 아이패드",삽니다 맥북 프로 에어 맥미니 아이맥 아이패드 갤럭시탭 노트북 | 삽니다 아이맥 맥북 프로 에어 맥미니 맥스튜디오 갤럭시탭 아이패드 노트북 | 고가매입! 맥북 프로 에어 맥미니 아이맥 맥프로 아이패드 노트북 갤럭시탭
있음,11,검토 필요,"아이패드, 로보락, 닌텐도 스위치, 플스5, 맥북",아이패드 에어 5 M2 128G 펜슬 프로 포함 애플케어 있음 상태양호 | 아이패드 에어3 64GB (하자 있음) | 애플 A1474 아이패드 홈버튼 있음 1세대 레트로32기가
아이패드미니,11,검토 필요,아이패드,"아이패드미니 7세대 스타라이트 | 애플 정품 아이패드미니 6,7세대 스마트폴리오 단순개봉 새상품 | 아이패드미니 6세대 256기가 + 애플펜슬 2세대"
직거래만,11,검토 필요,"아이패드, 닌텐도 스위치, 애플워치, 플스5, 다이슨",[직거래만] 아이패드 에어5세대 256GB 풀박스 (애플펜슬+10만) | 2025 아이패드 A16 128GB 직거래만 | 아이패드 7세대 128GB 스페이스 그레이+애플펜슬 (직거래만)
아이패드미니6,11,검토 필요,아이패드,아이패드미니6 256g | 아이패드미니6 64기가 퍼플 와이파이!!! | 배터리100 A+급 아이패드미니6 64G WIFI 그레이 [품번 134]
매입합니다,11,검토 필요,"닌텐도 스위치, 맥북, 아이패드, 에어팟 프로, 다이슨","매입) 아이패드 미니, 에어, 프로 최고가 매입합니다 | 아이폰/아이패드/맥북 파손,부품용,고장 매입합니다 | [매입합니다] 노트북매입 24시운영 중고노트북,노트북"
2015,11,검토 필요,"맥북, 플스5",맥북에어 13인치 A1466 2015 256기가 팝니다 | 맥북 프로 레티나 2015 13인치 500기가 | 애플 맥북/ A1534(2015)/ 8GB/ 512GB/ 12인치
레티나,11,검토 필요,맥북,맥북프로 레티나 i7/16GB 15인치 노트북 | 맥북 프로 레티나 13인지 2015년 | 맥북 프로 레티나 2015 13인치 500기가
애플워치10에르메스,11,검토 필요,애플워치,애플워치10에르메스 42mm 실버 SSS급 | 애플워치10에르메스 42mm SSS급 | 애플워치10에르메스 42mm 티타늄 SSS급
애플워치40,11,검토 필요,애플워치,애플워치40/41/42mm 정품 솔로루프 커나리 옐로우색상 사이즈2 | 애플워치40/41/42mm 정품 브레이드 솔로루프 프라이드에디션색상 사이 | 애플워치40/41/42mm 정품 브레이드 솔로루프 다크체리색상 사이즈6
스플래툰3,11,검토 필요,닌텐도 스위치,"닌텐도 스위치 OLED 스플래툰3 에디션 풀박스 판매 | 구성품미사용S급)닌텐도 스위치 OLED 스플래툰3 풀박스+파우치,쿨러 | 닌텐도 스위치 스플래툰3 칩"
스틱,11,검토 필요,"닌텐도 스위치, 플스5, 다이슨","닌텐도 스위치2) 조이콘캡, 조이콘 커버, 스틱 커버 | 유샤 파이트 스틱 닌텐도 스위치/스위치 라이트 | 스컬 앤 코 닌텐도 스위치 스틱 커버 새제품"
게임팩,11,검토 필요,닌텐도 스위치,닌텐도 스위치 에브리바디 게임팩 | 닌텐도 스위치 게임팩 판매합니다. | 닌텐도 스위치 OLED 몬헌 게임팩 풀구성
리메이크,11,검토 필요,"닌텐도 스위치, 플스5",스위치1 드래곤퀘스트3 리메이크 한글지원 일본판 | 닌텐도 스위치 삼국지8 리메이크 | 닌텐도 스위치 파판7 리메이크 + 매직더개더링
소니,11,검토 필요,플스5,소니 PS5 Pro 플스프로+디스크드라이브+플스포탈+이어버드+펄스헤드+듀 | 소니 PS5 플레이스테이션5 디스크에디션 미개봉 | 소니 플스5 디지털 에디션 박스 삽니다
코드미사용,11,검토 필요,플스5,PS5 프래그마타 (코드미사용) 판매 | PS5 프래그마타 코드미사용 | PS5 플스5 타이틀 프래그마타 코드미사용
dyson,11,검토 필요,다이슨,[다이슨] 로봇청소기 360 vis nav (DYSON) | Dyson HP01 다이슨 핫앤쿨 온풍 쿨 선풍기 | [dyson] 다이슨 무선청소기 V6
롱배럴,11,검토 필요,다이슨,다이슨 에어랩 롱배럴 풀세트 | 정품 다이슨 에어랩 부품 스타일러 툴 롱배럴 40mm | 다이슨 코리아 정품 롱배럴 신형 40mm 양방향 미개봉(아이언/니켈)
신제품,10,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 아이폰 17 프로, 아이폰 17, 맥북, 닌텐도 스위치, 다이슨",[삼성전자/정품]갤럭시S25울트라 미개봉 신제품 새상품 | 갤럭시S25플러스 신제품/미개봉/새상품/삼성전자/정품 | [삼성전자]신제품 갤럭시S25/갤럭시S25FE 미개봉/새상품
16ram,10,검토 필요,"갤럭시 s25 울트라, 갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s26, 맥북","갤럭시S25울트라 1Tb 16Ram 제트블랙(1테라) | 갤럭시S25 울트라 제트블랙 1TB 16RAM 팝니다 | 갤럭시S25울트라 1Tb 1테라(16Ram,제트블랙)"
라이즈,10,검토 필요,"닌텐도 스위치, 갤럭시 s25 울트라, 갤럭시 s25, 갤럭시워치",제베원 라이즈 루시 갤럭시 s25 울트라 대여 공연장직거래 부산 | 갤럭시 s25 울트라 대여 해드립니다 투어스 라이즈 메가콘 | 라이즈 쇼타로 삼성 갤럭시 워치 일본 갤럭시샵 한정 포토카드
0506,10,검토 필요,"아이폰 16, 갤럭시 s25 울트라, 갤럭시 s25",갤럭시S25울트라 256기가 블랙 (S급) / 0506 | 아이폰16프로 256기가 화이트 / 0506
s25ultra,10,product_token_dictionary model 후보,"갤럭시 s25 울트라, 갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s26",S급 갤럭시S25울트라 256 블랙 중고폰 공기계 s25ultra | S급 갤럭시S25울트라 512 블랙 중고폰 공기계 s25ultra | SS급 갤럭시S25울트라 512 화이트 중고폰 공기계 s25ultra
폴드,10,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17",특가 갤럭시S25울트라 미사용 선착순 한정판매 플립/폴드/23/24/26 | 특가 갤럭시S25플러스 미사용 선착순 한정판매 플립/폴드/23/24/26 | 폴드 7 -> 아이폰 17 pro or pro max
핫딜,10,검토 필요,"갤럭시 s26, 갤럭시 s25 울트라, 갤럭시 s25, 갤럭시 s26 울트라, 아이폰 16, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17",새상품 갤럭시S25엣지 전색상보유 한정판매 핫딜 #23#24#26#울트라 | 새상품 갤럭시S26울트라 전색상보유 한정판매 핫딜 #22#23#24#25 | 새상품 갤럭시S26플러스 전색상보유 한정판매 핫딜 #22#23#24#25
